id,year,title,presenters,description,talk_dt,location
44,2017,Know thy self: Methods and method binding,Thomas Ballinger,"Methods are like functions, but different. How? Why? And what's will having to type ""self"" all the time?  We'll explore partial application of functions and review why it might be nice to start using classes. Then to clarify how method objects work we'll examine the result of accessing the method attributes of an object without calling them. Understanding the behavior we uncover here will require more attribute lookup experiments, which will lead us discover the power of descriptors.  Along the way we'll peek in at other languages' approaches to method binding, hopefully coming to appreciate the way Python does things enough to type ""self"" a few thousand more times.",2017-05-08 13:55:00,Oregon Ballroom 201–202
45,2017,Level up! Rethinking the Web API framework.,Tom Christie,"Think there's nothing left to explore in how we design Web API frameworks? Think again.  The author of Django REST framework walks through how we might approach designing a new Python-based API framework from scratch, and looks at how we can start building smarter, more productive API tooling as a result.  You should come away from this talk with a better appreciation of:   How best to provide API client libraries and API documentation to your users. How to build APIs that support both realtime and request/response interfaces. How to build APIs that are web-browsable. Why you might want to consider taking a schema-first approach to your API design.",2017-05-08 12:10:00,Portland Ballroom 254–255
46,2017,Leveraging Serverless Architecture for Powerful Data Pipelines,Jason Myers,"Serverless Architectures that allow us to run python functions in the cloud in an event-driven parallel fashion can be used to create extremely dynamic and powerful data pipelines for use in ETL and data science. Join me for an exploration of how to build data pipelines on Amazon Web Services Lambda with python. We'll cover a single introduction to event-driven programming. Then, we'll walk through building an example pipeline while discussing some of the frameworks and tools that can make building your pipeline easier.  Finally, we'll discuss how to maintain observability on your pipeline to ensure proper performance and troubleshooting information.",2017-05-08 17:10:00,Portland Ballroom 252–253
47,2017,Library UX: Using abstraction towards friendlier APIs,Mali Akmanalp,"Complicated libraries can be a pain in the butt to use. It's not surprising that there are a lot of ""X for humans"" libraries out there, some of which are mostly wrappers around more frustrating interfaces.  This is not a theoretical talk. I'll touch upon theory to give you context, but will then talk about what that means for you in practice so that you can write better libraries. I'll talk about why library UX matters, about abstraction as a general concept, about out what happens when you over/under abstract, and about some useful tips to help build friendly APIs. Meanwhile, I'll show some positive examples from libraries we know and love (flask, SQLAlchemy, Requests, etc). Once you recognize these effects in play, you'll be able to apply them to your own code and make life better for everyone!",2017-05-08 15:15:00,Oregon Ballroom 203–204
48,2017,"Lights, camera, action! Scraping a great dataset to predict Oscar winners",Deborah Hanus,"Using Jupyter notebooks and scikit-learn, you’ll predict whether a movie is likely to win an Oscar or be a box office hit. Together, we’ll step through the creation of an effective dataset: asking a question your data can answer, writing a web scraper, and answering those questions using nothing but Python libraries and data from the Internet.",2017-05-08 15:15:00,Portland Ballroom 252–253
49,2017,Look mum no hands! From blinking LEDs to a bike speedometer with MicroPython,Tim Head,"In this talk I will show you how to use a micro-controller to build a wifi enabled speedometer for your bike, using MicroPython. And some hardware. And a bike (maybe). I will introduce you to the world of MicroPython: a python distribution that runs on micro-controllers. Micro-controllers are small computers that are all around us: in cars, TVs, and your internet connected fridge. We will start with making LEDs blink, then serve webpages, build an interrupt handler and finally put it all together to make a wifi enabled speedometer for a bike.",2017-05-08 13:50:00,Portland Ballroom 252–253
50,2017,Looping Like a Pro in Python,"David ""DB"" Baumgold","The humble loop: it's hard to write a program without it. Whether it's processing numbers in a sequence, lines in a text file, users in a database, or any other list of things, you use loops all the time. But did you know that Python has a lot of different ways to write loops? Reaching for the right looping tool can make your code cleaner, more readable, easier to test, and it can even make it run faster! By the end of this talk, you'll be looping like a pro, and your code will be better for it.",2017-05-08 17:10:00,Oregon Ballroom 201–202
51,2017,"Magic Method, on the wall, who, now, is the `__fairest__` one of all?",Sep Dehpour,"Magic methods are a very powerful feature of Python and can open a whole new door for you. However, with great power comes great responsibility.  In this talk we explore magic method's capabilities by first designing new interfaces in a series of fun experiments. Secondly, we play with creating undeletable objects and learn about the mighty Garbage Collector in cPython and how a single magic method can overturn the fate of the object. Lastly, we create a lazy Redis client to illustrate a practical application of magic methods and learn about lazy loading.  Once you see what magic methods can bring to the table, the limit is only your imagination!",2017-05-08 13:55:00,Portland Ballroom 251 & 258
52,2017,Modern Python Dictionaries -- A confluence of a dozen great ideas,Raymond Hettinger,"Python's dictionaries are stunningly good.  Over the years, many great ideas have combined together to produce the modern implementation in Python 3.6.  This fun talk uses pictures and little bits of pure python code to explain all of the key ideas and how they evolved over time.  Includes newer features such as key-sharing, compaction, and versioning.",2017-05-08 12:10:00,Portland Ballroom 251 & 258
53,2017,Next Level Testing,James Saryerwinnie,"Unit, functional, and integration tests are great first steps towards improving the quality of your python project.  Ever wonder if there’s even more you can do?  Maybe you've heard of property-based testing, fuzzing, and mutation testing but you're unsure exactly how they can help you.  In this talk we’ll cover additional types of tests that can help improve the quality and robustness of your python projects: property-based testing, fuzz testing, stress testing, long term reliability testing, and mutation testing.  We’ll also go beyond just covering what these tests are.  For each of the test types above, I’ll give you real world examples from open source software that I maintain that shows you the types of bugs each test type can find.  I’ll also show you how you can integrate these tests into your Travis CI and/or Jenkins environment.",2017-05-08 12:10:00,Portland Ballroom 252–253
54,2017,No More Sad Pandas: Optimizing Pandas Code for Speed and Efficiency,Sofia Heisler,"When I first began working with the Python Pandas library, I was told by an experienced Python engineer: ""Pandas is fine for prototyping a bit of calculations, but it's too slow for any time-sensitive applications."" Over multiple years of working with the Pandas library, I have realized that this was only true if not enough care is put into identifying proper ways to optimize the code's performance. This talk will review some of the most common beginner pitfalls that can cause otherwise perfectly good Pandas code to grind to a screeching halt, and walk through a set of tips and tricks to avoid them. Using a series of examples, we will review the process for identifying the elements of the code that may be causing a slowdown, and discuss a series of optimizations, ranging from good practices of input data storage and reading, to the best methods for avoiding inefficient iterations, to using the power of vectorization to optimize functions for Pandas dataframes.",2017-05-08 16:30:00,Oregon Ballroom 201–202
55,2017,One Data Pipeline to Rule Them All,Sam Kitajima-Kimbrel,"There are myriad data storage systems available for every use case imaginable, but letting application teams choose storage engines independently can lead to duplicated efforts and wheel reinvention. This talk will explore how to build a reusable data pipeline based on Kafka to support multiple applications, datasets, and use cases including archival, warehousing and analytics, stream and batch processing, and low-latency ""hot"" storage.",2017-05-08 13:50:00,Oregon Ballroom 201–202
56,2017,Optimizations which made Python 3.6 faster than Python 3.5,Victor Stinner,"Various optimizations made Python 3.6 faster than Python 3.5. Let's see in detail what was done and how.  Python 3.6 is faster than any other Python version on many benchmarks. We will see results of the Python benchmark suite on Python 2.7, 3.5 and 3.6.  The bytecode format and instructions to call functions were redesign to run bytecode faster.  A new C calling convention, called ""fast call"", was introduced to avoid temporary tuple and dict. The way Python parses arguments was also optimized using a new internal cache.  Operations on bytes and encodes like UTF-8 were optimized a lot thanks to a new API to create bytes objects. The API allows very efficient optimizations and reduces memory reallocations.  Some parts of asyncio were rewritten in C to speedup code up to 25%. The PyMem_Malloc() function now also uses the fast pymalloc allocator also giving tiny speedup for free.  Finally, we will see optimization projects for Python 3.7: use fast calls in more cases, speed up method calls, a cache on opcodes, a cache on global variables.",2017-05-08 10:50:00,Portland Ballroom 251 & 258
57,2017,Packaging Let’s Encrypt: Lessons learned shipping Python code to hundreds of thousands of users,Noah Swartz,"Let's Encrypt launhced on April 12th 2016, for the first time allowing anyone access to free SSL certificates that could be automatically fetched and renewed. The demand was massive, and so was the need for a client to fetch these certificates for all of those users. This client is called Certbot, and it's written entirely in Python. Unfortunately for the sanity of Certbot developers, these users of Let's Encrypt can't decide on a single operating system to use! This requires us to ship our software, and all of its dependencies, to a variety of systems all with different web servers, Python versions, package managers,and underlying packages. Learn how we got through this mess!",2017-05-08 13:55:00,Portland Ballroom 251 & 258
58,2017,Passing Exceptions 101: Paradigms in Error Handling,Amandine Lee,"Exception handling in Python can sometimes feel like a Wild West. If you have a send_email function, and the caller inputs an invalid email address, should it: A) Return None or some other special return value, B) Let the underlying exception it might cause bubble up, C) Check via a regex and type checking and raise a ValueError immediately, or D) Make a custom EmailException subclass and raise that?   What if there is a network error while the email was sending? Or what if the function calls a helper _format_email that returns an integer (clearly wrong!), or raises an TypeError itself? Should it crash the program or prompt a retry?   This talk will introduce the concept of an exception, explain the built-in Python exception hierarchy and the utility of custom subclasses, demonstrate try/except/finally/else syntax, and then explore different design patterns for exception control flow and their tradeoffs using examples. It will also make comparisons to error handling philosophy in other languages, like Eiffel and Go.",2017-05-08 11:30:00,Oregon Ballroom 201–202
59,2017,Piecing it Together: A beginner's guide to application configuration,Mary Nagle,"Assembling all the necessary setup for an application you’re building can often be more frustrating than writing the app itself. Learning to do this well is difficult, especially for those who are new to Python and might not know where to begin or what questions to ask. While there is no “right way” to set up a development environment or application, understanding the components involved and how they interact can empower you to customize your setup to best suit your needs. This talk will dive into what happens when setting up a database, the purpose and configuration of an isolated environment, how Python packages are installed, and finally, how each of these components interact with each other and the application itself; in particular, how an application's structure facilitates said interactions.",2017-05-08 13:10:00,Portland Ballroom 254–255
60,2017,Prehistoric Patterns in Python,Lennart Regebro,"Why do some code use dictionaries that have None for all values? Is it true that you shouldn't concatenate strings with +? Will Python optimize constant calculations?  This talk will go through some patterns that used to be common in Python, but which now are regarded as outdated and see if they really are outdated and why. The results surprised me, maybe they'll surprise you.",2017-05-08 11:30:00,Portland Ballroom 251 & 258
61,2017,Probabilistic Programming with PyMC3,Christopher Fonnesbeck,"Bayesian statistics offers robust and flexible methods for data analysis that, because they are based on probability models, have the added benefit of being readily interpretable by non-statisticians. Until recently, however, the implementation of Bayesian models has been prohibitively complex for use by most analysts. But, the advent of probabilistic programming has served to abstract the complexity of Bayesian statistics, making such methods more broadly available. PyMC3 is a open-source Python module for probabilistic programming that implements several modern, computationally-intensive statistical algorithms for fitting Bayesian models, including Hamiltonian Monte Carlo (HMC) and variational inference. PyMC3’s intuitive syntax is helpful for new users, and the reliance on Theano for much of the computational work has allowed developers to keep the code base simple, making it easy to extend the software to meet analytic needs. PyMC3 itself extends Python's powerful ""scientific stack"" of development tools, which provide fast and efficient data structures, parallel processing, and interfaces for describing statistical models.  ",2017-05-08 13:10:00,Portland Ballroom 251 & 258
62,2017,Python for mathematical visualization: a four-dimensional case study,David Dumas,"This is a talk about creating pictures of a mathematical object---specifically, a 4-dimensional fractal ""dust"" that has been the subject of mathematical research in hyperbolic geometry since the 1980s.  In the end this is accomplished using a little algebra, a little geometry, and a healthy dose of Python.  That is, I will present a case study of using Python in several aspects of a mathematical visualization project, from the computation itself, to transforming and converting data, and finally for scripting the process of generating the images.  Along the way I'll explain how Python's convenient idioms and containers (e.g. sets and set comprehensions) are a good fit for some of the algebraic and geometric questions that come up, how Scipy and Numpy enable fast numerical calculations, and how Python's strength as a language for scripting and automation allows easy orchestration of rendering of still images and frames of animations.  The mathematical visualization project we describe is a collaboration with François Guéritaud (Université de Lille).",2017-05-08 17:10:00,Portland Ballroom 252–253
63,2017,Python from Space: Analyzing Open Satellite Imagery Using the Python Ecosystem,Katherine Scott,"Earth imaging satellites, just like our computers, are shrinking and becoming more ubiquitous than ever before. It is now possible to obtain open satellite data on a daily if not weekly basis and for this data to be put to work; helping us better understand our planet and quickly respond to disaster situations.   In this talk we will work through a jupyter notebook that covers the satellite data ecosystem and the python tools that can be used to sift through and analyze that data. Topics include python tools for using Open Street Maps data, the Geospatial Data Abstraction Library (GDAL), and OpenCV and NumPy for image processing. This talk is intended for novice and intermediate python developers who are interested in using data science and satellite imagery for social good and fundamental scientific research.",2017-05-08 15:15:00,Oregon Ballroom 201–202
64,2017,Python in The Serverless Era,Benny Bauer,"Serverless is the latest phase in the evolution of cloud development. Its building blocks are functions, a bunch of stateless “nano-services”, that can scale automatically and charged only when used. It enables teams to focus more on development while having fully managed servers. In this talk I'll cover the Serverless Architectures practices, use cases, tooling and the role python plays in it.",2017-05-08 13:50:00,Portland Ballroom 254–255
65,2017,Rants and Ruminations From A Job Applicant After 💯 CS Job Interviews in Silicon Valley,Susan Tan,"What is it like to interview at 1 technology company? Stressful and tiring. What is it like to interview at 100 technology companies? I have done that. In late August 2016, I quit an uninspiring full-time software job and talked to 100 employers in the San Francisco Bay Area to find the best fit. The hiring process reflects the company culture and its values. Listen to my rants and ruminations of interviewing at tiny seed-stage startups to large technology companies in Silicon Valley. Learn how to reform your own hiring process to be more considerate and thoughtful. Learn how to prepare for interviews efficiently.",2017-05-08 14:35:00,Portland Ballroom 254–255
66,2017,Readability Counts,Trey Hunner,"Have you found unreadable PEP8-compliant code and wondered how to fix it?  Have you ever seen code that was simply a pleasure to read?  If you've ever wondered what makes code easy to read, this talk is for you.  During this talk we'll learn a number of techniques for refactoring code to improve readability and maintainability.  We'll discuss:   whitespace self-documenting code modularity expectation management   We'll end with a checklist for improving the readability of your own code.",2017-05-08 11:30:00,Oregon Ballroom 201–202
67,2017,Re-Programming the Human Genome with Python,Riley Doyle,"Modern genome editing techniques such as CRISPR-Cas9 are revolutionizing the way we discover and treat the root genetic causes of disease. Many of the most popular tools and libraries in this cutting edge application are written in Python. This talk will provide a general, software-centric introduction to the exciting new area of genome editing, describe the central string search, machine learning, and data management problems involved, and review how Python frameworks and libraries are used today to solve these problems in Production in order to benefit human health. This talk assumes no prior lab experience: only a proficiency with Python and curiosity!",2017-05-08 16:30:00,Portland Ballroom 254–255
68,2017,Requests Under The Hood,Cory Benfield,"Requests is widely acknowledged as a library that saves users an enormous amount of time, effort, and pain through its intuitive and clear API. For this reason, most people who have never looked at the code assume that its code is as intuitive, well-structured, and clear as the API.  Of course, the truth is more complex than that. Real software that deals with real problems is rarely ideal: there are edge cases, terrible hacks, and awkward workarounds for problems.  Often in the software industry we pretend that these imperfections in our software don’t exist, or we try to hide them. These imperfections frequently cause people to reinvent wheels in order to simplify the code, which has benefits for understandability but frequently has downsides for resilience. When people talk about “battle-tested” code, they mean code that has been dirtied up over time from its original Platonic ideal implementation to something that is just as complex and warty as real life.  In this talk, one of the Requests and urllib3 core maintainers lays bare all of the worst and hackiest corners of the codebases of these two libraries. The goal is to help expose all of the invisible work done in mature codebases to tolerate edge cases and misbehaviour, as well as to try to remind us all that the perfect is the enemy of the good.",2017-05-08 10:50:00,Oregon Ballroom 201–202
69,2017,Share Your Code! Python Packaging Without Complication,Dave Forgac,"If you want people to use your code you should package it! You may have heard that packaging is hard but the Python packaging ecosystem has evolved a lot over the years. Taking your beautiful code and sharing it with the world is complex but it doesn't have to be complicated. In this talk you will learn how to take advantage of modern tooling and practices so you can get boring stuff out of the way, publish quickly and frequently, and focus on your code.  This talk will cover:   A (brief) history of Python packaging Python Packaging User Guide recommendations Distribution formats Anatomy of a package Automating package creation Adding: Testing CI Documentation Testing package installation Releasing to PyPI   This talk is for you if you're new to Python packaging and would like to learn how to share you code or if you've worked with Python for a while and just aren't up-to-date with the latest packaging practices.",2017-05-08 13:10:00,Oregon Ballroom 201–202
70,2017,Slot or not: higher performance custom objects in pure Python,Aaron Hall,"__slots__ are versatile for certain kinds of uses and users, if you know how they work.   At first glance, they seem like a free lunch, with improvements in both time and space. At second glance, they seem to have so many caveats to make them not worth using.   This talk is a deep dive into how __slots__ work, how to wring every benefit out, as well as the actual caveats and alternatives, with recommendations for writers of core libraries as well as end users.",2017-05-08 16:30:00,Portland Ballroom 254–255
71,2017,Snakes on a Hyperplane: Python Machine Learning in Production,Jessica Lundin,"Companies with an artificial-intelligence plan have a differentiating strategy in the intelligence economy; however, implementing robust machine-learning in production is nontrivial, often requiring a close collaboration between data scientists and developers, and retooling the production stack and workflows to develop and maintain accurate models.    Machine learning in production involves model application, handling missing data, data artifacts, and data outside of the training calibration.  A rigorous evaluation framework draws upon logging to determine characteristics of model coverage, model performance, auditing, and run-time performance.  Model coverage includes the number of times the model produced sensible output relative to number of times it is called.  Model coverage is reduced if the model does not converge or model criteria are not met.  Model performance is evaluated with a suite of metrics (accuracy, AUC, FPR, TPR, RMSE, MAPE, etc.), which assist in determining the most appropriate model to use in the production scenario and the validity of the model training.  Regularly performing manual audits for spot checks is important for debugging and ensuring the model passes sanity checks.  Model performance includes run times and profiling model pieces, ensuring performance is within specified requirements and refactoring otherwise.  In the AI renaissance, where ML is a critical piece of intelligent products, seamlessly integrating model evaluation into workflows is an important component of making robust products and building a satisfying customer experience.  Python is a great language to build intelligent products with its abundance of ML libraries and wrappers contributed as open-source software in addition to rich full-stack capabilities.",2017-05-08 17:10:00,Oregon Ballroom 203–204
72,2017,Snek in the Browser,Katie McLaughlin,"Python is a decades-strong language with a large community, and it has a solid foundation on the server, but it doesn't have a good user story in the browser... until now.  The BeeWare project aims to bring Python natively, everywhere. Using a combination of the Batavia and Toga projects, we can develop and entirely native web experience in Python, no JavaScript required.  During this talk, you will learn about how the BeeWare project has built Batavia, a Python virtual machine in JavaScript; and Toga, a multi-platform native API wrapper; a combination of which can be used to build an entire web platform in Python only.",2017-05-08 14:35:00,Portland Ballroom 251 & 258
73,2017,Solid Snakes or: How to Take 5 Weeks of Vacation,Hynek Schlawack,"No matter whether you run a web app, search for gravitational waves, or maintain a backup script: being responsible for a piece of software or infrastructure means that you either get a pager right away, or that you get angry calls from people affected by outages.  Being paged at 4am in everyday life is bad enough.  Having to fix problems from hotel rooms while your travel buddies go for brunch is even worse.  And while incidents can’t be prevented completely, there are ways to make your systems more reliable and minimize the need for (your!) manual intervention.  This talk will help you to get calm nights and relaxing vacations by teaching you some of them.",2017-05-08 13:40:00,Portland Ballroom 252–253
74,2017,Static Types for Python,"Jukka Lehtosalo, David Fisher","Over the past year and a half, Dropbox has been investing in the development of mypy, a static type checker for Python, as a way to make our multimillion-line Python codebase easier to understand, navigate, and maintain.  In this talk, we will discuss the benefits of type annotations, explain how to use them, and give a peak into how mypy works behind the scenes.  Mypy is an open-source type-checker for Python which supports the PEP 484 standard for gradual typing. Originally created by Jukka Lehtosalo as part of his PhD thesis in 2013, it is now under active development by a small team at Dropbox which includes David Fisher, Greg Price, and Guido van Rossum.  It supports Python 3.2 and higher, as well as Python 2.7 (via type comments).",2017-05-08 12:10:00,Oregon Ballroom 201–202
75,2017,Temporal Data Structures with SQLAlchemy and Postgres,Joseph Leingang,"SQLAlchemy (http://www.sqlalchemy.org) and Postgres (https://www.postgresql.org) provide several useful tools that allow us to build and query records through time: temporal models. Combining a need to have robust auditing, as well feature development on per-property history, we can turn “regulatory overhead” into an exciting technical challenge. At Clover Health we have built a small library to automate the task of decorating a model and making it “temporal.” This talk aims to demonstrate the underlying data model and interface for building this system.",2017-05-08 11:30:00,Oregon Ballroom 203–204
76,2017,Text is More Complicated Than You Think: Comparing and Sorting Unicode,Morgan Wahl,"Few people realize just how complicated text can be. Did you know sorting and even case-folding can depend on a user's locale? That different strings of characters can be semantically completely equivalent? That there are over a thousand Latin letters?  Legacy text encodings like ASCII made a lot of simplifying assumptions about how written languages work, and we all put up with them because it was cool to even have computers in the first place. Unicode removes many of those assumptions and provides the tools we need to write software that can just do the right thing regardless of what text users throw at it. Even if you don't translate your UI, getting the details of string comparison, sorting, and searching right can eliminate annoying surprises for you and your users.",2017-05-08 13:40:00,Oregon Ballroom 203–204
77,2017,The Dictionary Even Mightier,Brandon Rhodes,"Since my “Mighty Dictionary” talk at PyCon 2010, the Python dictionary has evolved dramatically. Come learn about all of the the improvements, up to and including the re-architecture that has just landed with Python 3.6! The talk will discuss iterable views, the dictionary’s dedicated comprehension syntax, random key ordering, the special key-sharing dictionary designed to underlie object collections, and, most famously of all, the new “compact dictionary” that cuts dictionary storage substantially — and carries a fascinating side-effect.  Each new feature that the talk discusses will be motivated by considering the trade-offs inherent in hash table data structure design, and followed up with hints about how you can now use the dictionary even more effectively in your own code!",2017-05-08 15:15:00,Oregon Ballroom 201–202
78,2017,The Fastest FizzBuzz in the West: Make Your Own Language with RPLY and RPython,Dustin Ingram,"In this talk, you'll learn how I built DIVSPL (Dustin Ingram's Very Special Programming Language), a tongue-in-cheek domain-specific language, which is particularly good for implementing FizzBuzz -- as quickly as possible.  We'll build DIVSPL with RPLY, an implementation of David Beazley's PLY (but with a ""cooler"" API) and make it compatible with RPython, a restricted subset of the Python programming language. Along the way, you'll learn about lexers, parsers, and grammars, and in the end, you'll know how to build your own language.",2017-05-08 14:35:00,Portland Ballroom 254–255
79,2017,The Gilectomy: How's It Going?,Larry Hastings,"One of the most interesting projects in Python today is Larry Hastings' ""Gilectomy"" project: the removal of Python's Global Interpreter Lock, or ""GIL"".  Come for an up-to-the-minute status report: what's been tried, what has and hasn't worked, and what performance is like now.",2017-05-08 12:10:00,Portland Ballroom 251 & 258
80,2017,The Glory of pdb's set_trace,Nicole Zuckerman,"Everyone needs to debug code, and it can take up a non-trivial portion of our time to wait for code to complete execution and write print messages to stdout. There’s one function in particular in the python debugger (pdb) library that can give you a much clearer understanding of what’s going on in your code, much more quickly; pdb.set_ trace().  In this talk, we’ll identify the most useful things you can do when you use set trace, that can make debugging exponentially more efficient and enjoyable.",2017-05-08 16:30:00,Oregon Ballroom 201–202
81,2017,The Memory Chronicles: A Tale of Two Pythons,Kavya Joshi,"MicroPython is the leanest, meanest full Python implementation. Designed for microcontrollers, this variant of Python runs in less than 300KB of memory, and retains support for all your favorite Python features.   So what does it take to make the smallest Python? Put differently, why does CPython have a large memory footprint?  This talk will explore the internals of MicroPython and contrast it with CPython, focusing on the aspects that relate to memory use. We will delve into the Python object models in each and the machinery for managing them. We will touch upon how the designs of the bytecode compiler and interpreter of each differ and why that matters.",2017-05-08 10:50:00,Portland Ballroom 251 & 258
82,2017,The Next Step: Finding Model Parameters With Random Walks,Christine Waigl,"The statistician John Tukey -- who designed the box plot and coined the term ""bit"" -- wrote:  ""An approximate answer to the right problem is worth a good deal more than an exact answer to an approximate problem"". Python has become one of the major languages for statistical data analysis, not least because of the expressiveness of the language itself and the availability of tools like Jupyter Notebooks, which enable iterative reasoning about a problem and its solutions.   This talks takes one step beyond an introduction to statistics with Python and aims to familiarize the audience with two concepts: a class of problems (so-called inverse problems), and a powerful statistical tool (the random walk, or more formally Markov-Chain Monte Carlo (MCMC) sampling with the Metropolis algorithm).   In inverse problems, model parameters are estimated from observational data. Both model and data are expected to be affected by error. The objective is not only to find parameters that best describe the observations, but also to figure out how good, or how possibly bad, a solution might be. Inverse problems are extremely common in many fields and crop up each time we attempt to reconstruct a reality from sensor, radar, scattering or imaging data.   The Metropololis-Hastings algorithm offers a solution via random sampling of a Bayesian posterior distribution. Even though listed as one of the 20th century's top 10 algorithms by the journal Computing in Science & Engineering, the Metropolis algorithm is easy to understand and implement, and a fun and instructive way to explore even complicated multi-variate probability distributions. ",2017-05-08 13:50:00,Portland Ballroom 251 & 258
83,2017,The Python Visualization Landscape,Jake VanderPlas,"So you want to visualize some data in Python: which library do you choose? From Matplotlib to Seaborn to Bokeh to Plotly, Python has a range of mature tools to create beautiful visualizations, each with their own strengths and weaknesses. In this talk I’ll give an overview of the landscape of dataviz tools in Python, as well as some deeper dives into a few, so that you can intelligently choose which library to turn to for any given visualization task.",2017-05-08 16:30:00,Portland Ballroom 252–253
84,2017,The trends in choosing licenses in Python ecosystem,Anwesha Das,"The software licenses are the permissions over copyrighted software. The permission and/ grant includes the grant to use, to redistribute, to prepare derivative works etc. These software licenses also set forth the limitations over these aforesaid rights. The software licenses basically marks the boundary for the usage of the code.  Therefore from the above mentioned introduction it very clear that it is very important for developers to choose the license for their code wisely and correctly.  PyPI, the Python Package Index is a repository of software for the Python programming language. There are currently 80000+ packages there.  This talk will go through the licenses of the top 2500 packages. We will see the trend of choosing a license for these top Python projects. We will discuss the licenses individually, compare them with each other. the advantages and disadvantages of the same.  We will further explain that why a license and/or licenses are being favored by the developers.",2017-05-08 10:50:00,Portland Ballroom 254–255
85,2017,The Wild West of Data Wrangling,Sarah Guido,"Data science introductory courses might give you the impression that dealing with data is neat, tidy, and simple. They present you with a simplistic dataset and the scikit-learn or Pandas documentation, and a day or so later, you're done! Piece of cake, right?  The real world of data isn't that easy!   As a data scientist who has worked in the industry for several years, I have had a lot of experience dealing with messy, inaccurate, incomplete data, and I want to share those experiences with you. I'll talk my way through three real-world situations where I've had to analyze and build models on untidy and complex data, going through how I've preprocessed the data and prepared it for modeling. You'll leave with an understanding of how a data scientist thinks about data and what she does when the data is complicated.",2017-05-08 17:10:00,Portland Ballroom 254–255
86,2017,Title Available On Request: An Introduction to Lazy Evaluation,Joe Jevnik,"Lazy evaluation, also known as ""call by need"", is an evaluation strategy where values are produced only when needed. Lazy evaluation is the opposite of eager evaluation, Python's normal evaluation model, where functions are executed as seen and values are produced immediately.  In this talk we will define lazy evaluation and contrast it with eager evaluation. We will discuss tools that exist in Python for using lazy evaluation and show how we can build on the primitives to better represent computations. We will introduce common vocabulary for discussing evaluation models, and compare different systems for implementing lazy evaluation. Finally, we will discuss optimizations that can be made to optimize lazily evaluated expressions.",2017-05-08 10:50:00,Portland Ballroom 254–255
87,2017,"Tracing, Fast and Slow: Digging into and improving your web service’s performance",Lynn Root,"Do you maintain a Rube Goldberg-like service? Perhaps it’s highly distributed? Or you recently walked onto a team with an unfamiliar codebase? Have you noticed your service responds slower than molasses? This talk will walk you through how to pinpoint bottlenecks, approaches and tools to make improvements, and make you seem like the hero! All in a day’s work.  The talk will describe various types of tracing a web service, including black & white box tracing, tracing distributed systems, as well as various tools and external services available to measure performance. I’ll also present a few different rabbit holes to dive into when trying to improve your service’s performance.",2017-05-08 17:10:00,Oregon Ballroom 201–202
88,2017,Type uWSGI; press enter; what happens?,"Asheesh Laroia, Philip James","You're a pretty knowledgeable Python web application developer, but how does that web application get served to the world? For many of us, uWSGI is the magic that makes our application available, and in this talk we'll look at how uWSGI works with the OS and the networking stack to make the magic happen.",2017-05-08 11:30:00,Oregon Ballroom 203–204
89,2017,Unicode: what is the big deal?,Łukasz Langa,"Ever wondered why people complain that text processing is a hard problem? Or why Python 3 would introduce such a big backward incompatibility with switching to Unicode? Wonder no more, this talk is for you.  In 30 minutes I'm going to demonstrate real world text processing problems and how Python 3 helps solve them. The talk is going to explain how you should split your text from binary data in your application, what are sensible defaults and what are possible gotchas. All this sprinkled with a healthy dose of frustration by a guy whose first name starts with Ł.",2017-05-08 17:10:00,Portland Ballroom 254–255
90,2017,Web identity: OAuth2 and OpenIDConnect,Brendan McCollam,"Interested in adding single sign-on to your application, but confused about the variety of different web authentication methods out there? OAuth, OAuth2, OpenID, OpenIDConnect, SAML, Facebook Connect? This talk will clarify the different protocols, examining OAuth2 and OpenIDConnect in greater detail. It will demonstrate a basic client implementation using FLOSS libraries, and briefly touch on some of the issues involved in server implementation.",2017-05-08 12:10:00,Oregon Ballroom 203–204
91,2017,What's in your pip toolbox?,Jon Banafato,"pip is a great tool, but dependency management doesn't stop there. I'll explore several tools that work with pip to make managing your dependencies easier, faster, and safer. I'll cover generating dependencies a better way, maintaining your requirements.txt for the long-term, and exploring existing Python environments. Afterward, you'll never want to pip freeze > requirements.txt again.",2017-05-08 15:15:00,Oregon Ballroom 203–204
92,2017,What's new in Python 3.6,Brett Cannon,"Python 3.6 has turned out to be quite the release! With 16 Python Enhancement Proposals incorporated into the version, Python 3.6 is only surpassed by Python 3.0 for having more PEPs included in a single release. This talk will be an overview of those 16 PEPs and other changes outlined in the What's New document for Python 3.6.",2017-05-08 12:10:00,Oregon Ballroom 203–204
93,2017,When the abyss gazes back: staring down Python's surprising internals,David Wolever,"Python's fantastic until it isn't.  This talk dives into some of the surprising implementation details of CPython, then explains exactly how they could be discovered from first principles.    Attendees will leave with some dangerous Python trivia, and the tools they'll need to uncovery their own trivia when surprises strike.  The talk takes a deep dive into a StackOverflow question asking why ""x"" in (""x"", ) is faster than ""x"" == ""x"" (http://stackoverflow.com/questions/28885132/why-is-x-in-x-faster-than-x-x/28885213#28885213), including a discussion of dis.disassemble, the Pyhton stack machine, and reading the CPython source. If time permits, there will be other fun examples, a whirlwind tour of debugging, and a couple of homework assignments.",2017-05-08 11:30:00,Portland Ballroom 251 & 258
